Policies,Emissions,Energy
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",145.0411496,2.20321E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",117.069805,2.19164E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",141.3977518,2.18517E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",112.2480293,2.17307E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",139.3434444,2.18402E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",108.5991691,2.17108E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",138.4191251,2.19658E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",106.0113648,2.18247E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",137.5078044,2.21341E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",103.9030855,2.19792E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",136.2818315,2.23287E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 20, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",101.9503759,2.21577E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",129.0035422,1.95017E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",106.5458084,1.94143E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",125.34819,1.93194E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",101.7120783,1.92268E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",123.301435,1.93084E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",98.08132666,1.92073E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",122.422602,1.94374E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",95.5576404,1.93246E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",121.5868077,1.96098E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', 0, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",93.51929279,1.94832E+12
