,Count,Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
0,0,2025,2020,0.2,840,-50,10,1,3,4.136103786216327,26.039878611892828,7.039277078287423,13.319355716690824,1.0667552547583332,2.491672535788334,225657601912.7062,397066273403.5236,91088511882.27885,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,3,3.960648532583865,25.65615598774785,6.935932466417489,13.001002842344155,1.0218392440316666,2.408846855928334,216098718189.76202,391225150467.32886,89730840474.43425,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,3,3.789687081116664,25.24297605369929,6.824782870807939,12.656894460638322,0.9544652279416667,2.346727596033334,206773826527.20355,384938960594.4166,88266964922.75514,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,3,3.6153239442214664,24.851581317246733,6.719068968589285,12.322460547636654,0.909549217215,2.270804056161667,197270128531.08292,378973174697.8356,86884475739.34294,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,3,3.4407727066247897,24.45850812183773,6.612988387004443,11.888272503951654,0.8590187051475001,2.19488051629,187774663710.12582,372984057630.5488,85496588500.90166,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,3,3.267486708330365,24.05394468226463,6.5041453337719615,11.373679266991653,0.802873691739167,2.139663396383334,178349974404.37567,366828664735.7438,84065953144.6762,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,3,3.0942367905006503,23.65016863282735,6.395287824426418,10.843004991376654,0.7523431796716669,2.0775441364883336,168922984991.046,360679370206.5108,82640446258.03677,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,3,2.9230961817663275,23.232637847733795,6.28332725771296,10.317232563891652,0.7018126676041668,1.9947184566283331,159590590219.34842,354336328396.7159,81161869955.89224,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,3,2.7517911276537643,22.815752667636794,6.170997018548197,9.786558288276654,0.6512821555366669,1.9187949167566665,150252400463.2881,347988986601.4863,79690596209.9666,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,3,2.5813783818619114,22.39164263347232,6.0566987107971,9.28163952002082,0.6007516434691669,1.8428713768849998,140959305834.64886,341531087610.1398,78193545044.73029,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,3,2.4108441382722887,21.966580913932443,5.942647696513301,8.759005763733322,0.5502211314016668,1.7669478370133331,131657054068.15445,335071791143.86566,76691391271.53546,169364104000.0,13206284000.0,35164672000
0,0,2025,2020,0.2,840,-72,10,1,3,2.242617758205223,21.52497916217291,5.8240111632495974,8.244412526773322,0.4940761179933335,1.7048285771183331,122477633623.72006,328357314840.8375,75131514705.42896,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,3,2.074477071692684,21.082048536010035,5.704803507744147,7.7073316812074895,0.4435456059258335,1.6427093172233331,113306991779.05432,321617067978.6823,73568583927.5952,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,3,1.9083552519288185,20.62445663962238,5.582092352692184,7.187965823673324,0.39301509385833344,1.5736879173399998,104243270434.44629,314665212060.25775,71951377424.8286,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,3,1.7418421016970937,20.165862137717042,5.459441481171953,6.69912809407249,0.34809908313166676,1.5115686574449998,95155554291.46837,307706679344.3702,70329503442.66174,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,3,1.5767287293827956,19.696368352496062,5.3342688380238155,6.465953033574991,0.29756857106416673,1.4356451175733331,86141211562.29851,300592985939.55914,68667914207.7458,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,3,1.4133640671180498,19.214259137898086,5.20546420586716,6.203883794520825,0.25265256033750005,1.3666237176899998,77220622672.62723,293281165226.8888,66963130575.1932,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,3,1.2488038356944091,18.736886009005524,5.077920195948498,5.978749253350824,0.21335105095166668,1.2837980378299998,68238661219.633026,286041050989.4792,65276663424.37182,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,3,1.0884525819324913,18.229977723993574,4.9427257906614726,5.707005545592492,0.1628205388841667,1.2423851978999998,59479470704.884544,278359247710.6859,63483255214.8432,110292792000.0,3907982000.0,24725160000
